,question,model_prediction,ground_truth
363,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.4.2.1 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, and industry sponsors/employees are not allowed to work on the dynamic tests.
    ","The Accelerator Pedal must actuate the APPS T.1.4.1
a. Two springs must be used to return the foot pedal to 0% Pedal Travel
b. Each spring must be capable of returning the pedal to 0% Pedal Travel with the other
disconnected. The springs in the APPS are not acceptable pedal return springs."
364,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.4.2.2 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, and industry sponsors/employees are not allowed to work on the vehicle
     together.
    ","Two or more electrically separate sensors must be used as APPSs. A single OEM type APPS
with two completely separate sensors in a single housing is acceptable."
365,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.4.2.3 state exactly? Answer with only the text of the rule and no other words.," Team Members and Supporters
(a) Only team members who are 18 years or older may work on the vehicle at the competition site.
(b) Any person who works on the vehicle at the competition site must wear the uniform provided by the organizer.
(c) No person other than a person designated by the organizer may drive the dynamic test track.
(d) The organizer may allow persons other than drivers to ride in the vehicle during the dynamic tests; however, 
these persons must be in a area away from the dynamic test track.  
GR.9 CHANGES TO THE GRADING FORMULA  
GR.9.1  Changes to the Grading Formula or Procedure Restrictions  
GR.9.1.1  The organizer may implement, revise, or eliminate any portion of the Grading Formula, provided 
that:  
a. All vehicles are judged on three criteria: Handling, Maintenance and Styling.  
b. The formula for calculating the scores for these three criteria is presented in this rule document.  
c. The organizer may create additional criteria and","The APPS sensors must have different transfer functions which meet one of the two:
• Each sensor has different gradients and/or offsets to the other(s). The circuit must have
a pull-up or pull-down resistor to bring an open circuit input to 0% Pedal Travel
• An OEM pedal sensor with opposite slopes. Non OEM opposite slope sensor
configurations require prior approval.
The intent is that in a short circuit the APPSs will only agree at 0% Pedal Travel"
366,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.4.2.4 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, and industry sponsors/employees are not allowed on the dynamic testing area unless specifically invited by the dynamic testing area staff.
    ","Implausibility is defined as a deviation of more than 10% Pedal Travel between the sensors or
other failure as defined in this Section T.4.2. Use of values larger than 10% Pedal Travel
require justification in the ETC Systems Form and may not be approved"
367,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.4.2.5 state exactly? Answer with only the text of the rule and no other words.," Team equipment and team member clothing must be easily visible to the Inspectors.
    ","If an Implausibility occurs between the values of the APPSs and persists for more than 100
msec, the power to the (IC) Electronic Throttle / (EV) Motor(s) must be immediately stopped
completely.
(EV only) It is not necessary to Open the Shutdown Circuit, the motor controller(s) stopping
the power to the Motor(s) is sufficient."
368,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.4.2.6 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors and other personnel associated with the competition must not receive
information about the vehicle or the competition which is not available on the official website, or in the
competition documents.
    ","If three sensors are used, then in the case of an APPS failure, any two sensors that agree
within 10% Pedal Travel may be used to define the (IC) throttle position / (EV) torque target
and the 3rd APPS may be ignored."
369,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.4.2.7 state exactly? Answer with only the text of the rule and no other words.," Team members, team managers and team officers must not have any direct or indirect involvement 
in any part of the competition at any competition site, at any time, or in any capacity.
    ","Each APPS must be able to be checked during Technical Inspection by having one of the two:
• A separate detachable connector that enables a check of functions by unplugging it
• An inline switchable breakout box available that allows disconnection of each APPS
signal."
370,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.4.2.8 state exactly? Answer with only the text of the rule and no other words.," Team members may not start work on any part of the vehicle until after the Static
Inspection of the complete vehicle has been completed and the team has received the “Clear”
message from the Dynamic Inspection.
    ","The APPS signals must be sent directly to a controller using an analogue signal or via a digital
data transmission bus such as CAN or FlexRay."
371,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.4.2.9 state exactly? Answer with only the text of the rule and no other words.," Team Equipment
a. Vehicles and related equipment which is used for the dynamic tests, but not the dynamic
tests themselves, including:
• All vehicles
• All related equipment, such as dynamic test tracks, dynamic test cones, dynamic test
equipment, dynamic test sensors, dynamic test software, dynamic test
hardware, dynamic test instruments, dynamic test devices, dynamic test
equipment, dynamic test instruments, dynamic test devices, dynamic test
equipment, dynamic test instruments, dynamic test devices, dynamic test
equipment, dynamic test instruments, dynamic test devices, dynamic test
equipment, dynamic test instruments, dynamic test devices, dynamic test
equipment, dynamic test instruments, dynamic test devices, dynamic test
equipment, dynamic test instruments, dynamic test devices, dynamic test
equipment, dynamic test instruments, dynamic test devices, dynamic test
equipment, dynamic test instruments, dynamic test devices, dynamic test
equipment, dynamic test instruments, dynamic test devices, dynamic test
equipment, dynamic test instruments, dynamic test devices, dynamic test
equipment, dynamic test instruments, dynamic test devices, dynamic test
","Any failure of the APPS or APPS wiring must be detectable by the controller and must be
treated like an Implausibility, see T.4.2.4 above"
372,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.4.2.10 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, alumni, sponsors, donors and other individuals related to the competition must not:
a. Be employed by, or contract to, any company that is a competitor in the Formula SAE series, or have any other connection with commercial
competition in the series.
b. Receive compensation, other than that allowed by these rules, for work on any project related to the Formula SAE series.
c. Receive any other form of compensation or support for work on any project related to the Formula SAE series.
d. Be a member of any organization that has as one of its primary purposes support for teams in the Formula SAE series.
e. Receive any other form of support for work on any project related to the Formula SAE series.
f. Be a member of any organization that has as one of its primary purposes support for teams in the Formula SAE series.
g. Receive any other form of support for work on any project related to the Formula SAE series.  
The above restrictions apply for 12 months from the date of the event at which the violation occurred.  
","When an analogue signal is used, the APPS will be considered to have failed when they
achieve an open circuit or short circuit condition which generates a signal outside of the
normal operating range, for example <0.5 V or >4.5 V.
The circuitry used to evaluate the sensor must use pull down or pull up resistors to ensure
that open circuit signals result in a failure being detected."
373,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.4.2.11 state exactly? Answer with only the text of the rule and no other words.," Team members and suppliers must not have any affiliation with any competition
organizer, engineering faculty or student organizations at any of the
competition sites.
    ","When any kind of digital data transmission is used to transmit the APPS signal,
a. The ETC Systems Form must contain a detailed description of all the potential failure
modes that can occur, the strategy that is used to detect these failures and the tests that
have been conducted to prove that the detection strategy works.
b. The failures to be considered must include but are not limited to the failure of the APPS,
APPS signals being out of range, corruption of the message and loss of messages and the
associated time outs."
374,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.4.2.12 state exactly? Answer with only the text of the rule and no other words.," Team members and Faculty Advisors who are present at the dynamic area must wear:
a. A high visibility vest with Reflective Material (EVA, PE, or similar) and/or 
Colourfast (fluorescent) vests.
b. High visibility clothing (Yellow, Orange or similar) with High Visibility material (
fluorescent, reflective, or similar).
c. A high visibility hat (fluorescent, reflective, or similar).
d. A high visibility bandana (fluorescent, reflective, or similar).
e. A high visibility wristband (fluorescent, reflective, or similar).
f. A high visibility flag (fluorescent, reflective, or similar).
g. A high visibility light source (fluorescent, LED, or similar).
    ","The current rules are written to only apply to the APPS (pedal), but the integrity of the torque
command signal is important in all stages."
375,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.4.3.1 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, alumni, and other individuals associated with the competition must not receive financial
assistance to participate in the competition.
    ","The vehicle must have a sensor or switch to measure brake pedal position or brake system
pressure"
376,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.4.3.2 state exactly? Answer with only the text of the rule and no other words.," Team members and Faculty Advisors who are not already registered must register for the 
competition by the SCF - SAE International Competition Registration Deadline .
    ","The BSE must be able to be checked during Technical Inspection by having one of:
• A separate detachable connector(s) for any BSE signal(s) to the main ECU without
affecting any other connections
• An inline switchable breakout box available that allows disconnection of each BSE
signal(s) to the main ECU without affecting any other connections"
377,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.4.3.3 state exactly? Answer with only the text of the rule and no other words.," Team Members: The following people are considered team members: Accession date to the competition site 
where the vehicle is placed, and anytime at or near the Dynamic Area where the vehicle is operated.
    ","The BSE or switch signals must be sent directly to a controller using an analogue signal or via a
digital data transmission bus such as CAN or FlexRay
Any failure of the BSE or BSE wiring that persists more than 100 msec must be detectable by
the controller and treated like an implausibility and power to the (IC) electronic throttle / (EV)
Motor(s) must be immediately stopped completely.
(EV only) It is not necessary to completely deactivate the Tractive System, the motor
controller(s) stopping power to the motor(s) is sufficient."
378,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.4.3.4 state exactly? Answer with only the text of the rule and no other words.," Team members and students who work on the vehicle must not be employed by any organization that is 
associated with the competition and must not have any contract or agreement with such an organization.
    ","When an analogue signal is used, the BSE sensors will be considered to have failed when they
achieve an open circuit or short circuit condition which generates a signal outside of the
normal operating range, for example <0.5 V or >4.5 V.
The circuitry used to evaluate the sensor must use pull down or pull up resistors to ensure
that open circuit signals result in a failure being detected."
379,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.4.3.5 state exactly? Answer with only the text of the rule and no other words.," Team members and suppliers must not have any direct or indirect association with any competition
organizer, judge, inspector, controller, inspector of compliance or inspector of dynamic performance
for the duration of the competition.
    ","When any kind of digital data transmission is used to transmit the BSE signal:
a. The ETC Systems Form must contain a detailed description of all the potential failure
modes that can occur, the strategy that is used to detect these failures and the tests that
have been conducted to prove that the detection strategy works.
b. The failures modes must include but are not limited to the failure of the sensor, sensor
signals being out of range, corruption of the message and loss of messages and the
associated time outs.
c. In all cases a sensor failure must immediately shutdown power to the motor(s)."
380,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.1 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, alumni, and other individuals associated with the competition must not receive
compensation for services performed for the competition, except for:
a. Reimbursement for actual, documented out of pocket expenses
b. Stipends or scholarships to cover tuition or other education expenses directly related to the student’s education
c. Salaries paid to individuals performing work directly related to the competition (such as marketing, event planning)
d. Salaries paid to individuals performing work directly related to the design of vehicles for the competition (such as
engineering, manufacturing, vehicle design)  
The following are examples of what is not allowed:
• Consulting fees for individuals who are not employees
• Contracting out vehicle dynamic testing to a professional testing facility
• Compensation for vehicle prototypes that are damaged or destroyed during dynamic testing
• Any other compensation for work performed for the competition
    ","Transmission and Drive
Any transmission and drivetrain may be used."
381,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.2.1 state exactly? Answer with only the text of the rule and no other words.," Team members and students who work on the vehicle must not be employed by any organization that is 
associated with the competition and must not have worked for such a organization within 12 months of the 
competition event.
    ","Exposed high speed final drivetrain equipment such as Continuously Variable Transmissions
(CVTs), sprockets, gears, pulleys, torque converters, clutches, belt drives, clutch drives and
electric motors, must be fitted with scatter shields intended to contain drivetrain parts in case
of radial failure"
382,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.2.2 state exactly? Answer with only the text of the rule and no other words.," Teams may not access the vehicle’s control systems directly.
    ","The final drivetrain shield must:
a. Be made with solid material (not perforated)
b. Cover the chain or belt from the drive sprocket to the driven sprocket/chain wheel/belt
or pulley
c. Start and end no higher than parallel to the lowest point of the chain wheel/belt/pulley:
d. Cover the bottom of the chain or belt or rotating component when fuel, brake lines
T.3.1.8, control, pressurized, electrical components are located below"
383,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.2.3 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, alumni, donors, sponsors, and other individuals related to the competition are not allowed on the dynamic testing area.
    ",Body panels or other existing covers are acceptable when constructed per T.5.2.7 / T.5.2.8
384,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.2.4 state exactly? Answer with only the text of the rule and no other words.," Team Equipment
The following items are considered Team Equipment:
• All parts of the vehicle which are not bodywork or fairings
• All tools and equipment used to assemble, maintain and tear down the vehicle
• All driver equipment
• All driver clothing
• All fire extinguishers and fireproof blankets
• All other equipment and materials used during the competition
    ","Frame Members or existing components that exceed the scatter shield material requirements
may be used as part of the shield."
385,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.2.5 state exactly? Answer with only the text of the rule and no other words.," Team members may only work on the vehicle at the competition site, and only for the team for which
the vehicle was entered.
    ",Scatter shields may be composed of multiple pieces. Any gaps must be small (< 3 mm)
386,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.2.6 state exactly? Answer with only the text of the rule and no other words.," The vehicle must be capable of being driven by hand, with driver sitting in the driver position
     specified in FSAE Documentation for the vehicle.
    ","If equipped, the engine drive sprocket cover may be used as part of the scatter shield system."
387,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.2.7 state exactly? Answer with only the text of the rule and no other words.," Teams may use any method to demonstrate compliance with the rules.
    
    ","Chain Drive - Scatter shields for chains must:
a. Be made of 2.66 mm (0.105 inch) minimum thickness steel (no alternatives are allowed)
b. Have a minimum width equal to three times the width of the chain
c. Be centered on the center line of the chain
d. Stay aligned with the chain under all conditions"
388,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.2.8 state exactly? Answer with only the text of the rule and no other words.," Team equipment and team member clothing must be clearly labeled with the team number.
    ","Non-metallic Belt Drive - Scatter shields for belts must:
a. Be made from 3.0 mm minimum thickness aluminum alloy 6061-T6
b. Have a minimum width that is equal to 1.7 times the width of the belt.
c. Be centered on the center line of the belt
d. Stay aligned with the belt under all conditions"
389,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.2.9 state exactly? Answer with only the text of the rule and no other words.," Team members may only work on the vehicle at the competition site if:
a. They have been officially registered as a team member by the organizer
b. They are on the competition site for a period of time less than or equal to the time allowed for
Technical Inspection
    ","Attachment Fasteners - All fasteners attaching scatter shields and guards must be 6 mm or
1/4” minimum diameter Critical Fasteners, see T.8.2"
390,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.2.10 state exactly? Answer with only the text of the rule and no other words.," Team members and suppliers must not have any direct or indirect affiliation with automotive
companies which design, manufacture, sell or service passenger vehicles.
    ","Finger Guards
a. Must cover any drivetrain parts that spin while the vehicle is stationary with the engine
running.
b. Must be made of material sufficient to resist finger forces.
c. Mesh or perforated material may be used but must prevent the passage of a 12 mm
diameter object through the guard."
391,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.3.1 state exactly? Answer with only the text of the rule and no other words.," Team members and suppliers must not visit the competition site until after the first
competition of the season.
    ","The rotating part of the Motor(s) EV.4.1 must be contained in a structural casing.
The motor casing may be the original motor casing, a team built motor casing or the original
casing with additional material added to achieve the minimum required thickness.
• Minimum thickness for aluminum alloy 6061-T6: 3.0 mm
If lower grade aluminum alloy is used, then the material must be thicker to provide an
equivalent strength.
• Minimum thickness for steel: 2.0 mm"
392,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.3.2 state exactly? Answer with only the text of the rule and no other words.," Team members, mentors, judges, competition organizers and other personnel associated with the competition 
must not make any comments or suggestions about any team’s cost analysis or any other aspect of any 
team’s presentation.
    ","A Scatter Shield must be included around the Motor(s) when one or both:
• The motor casing rotates around the stator
• The motor case is perforated"
393,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.3.3 state exactly? Answer with only the text of the rule and no other words.," Team members and suppliers must not visit the competition site until after the event has finished.
    ","The Motor Scatter Shield must be:
• Made from aluminum alloy 6061-T6 or steel
• Minimum thickness: 1.0 mm"
394,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.4.1 state exactly? Answer with only the text of the rule and no other words.," Team Fabrication and Assembly
a. Each team member may work on the entire vehicle or on a specific part, but only in the
following circumstances:
• If the team member is an Accredited Driver, he may work on the vehicle only after
completing all driving requirements for the event.
• If the team member is not an Accredited Driver, he may work on the vehicle only if:
i. The vehicle is not being driven by a team member at the time of work; or
ii. The vehicle is being used as a tool for measuring or inspecting something away from the
driving area
b. No team member may work on any part of the vehicle while the vehicle is being driven by:
• Any team member who is not an Accredited Driver; or
• Any driver who is not an Accredited Driver and who has not completed all driving requirements
for the event
c. Any driver who is not an Accredited Driver and who has not completed all driving requirements
for the event may not drive the vehicle at any time during the event
d. Any driver who is an Accredited Driver must drive the vehicle only during the event",Water cooled engines must use only plain water with no additives of any kind
395,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.4.2 state exactly? Answer with only the text of the rule and no other words.," Team members may not start work on any other vehicle than the one(s) for which they have been designated as
Team Member until after the completion of the event at which the vehicle for which they were designated did not
advance to the next event.
    ","Liquid coolant for electric motors, Accumulators or HV electronics must be one of:
• plain water with no additives
• oil"
396,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.4.3 state exactly? Answer with only the text of the rule and no other words.," Team Members:
a. Must wear the uniform provided by the organizer for any driving on competition
terrain.
b. Must wear clothing and footwear provided by the organizer for any driving on competition
terrain.
c. Must wear a helmet provided by the organizer for any driving on competition
terrain.
d. May wear a second helmet provided by the organizer for any driving on competition
terrain.
    ",(EV only) Liquid coolant must not directly touch the cells in the Accumulator
397,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.5.1 state exactly? Answer with only the text of the rule and no other words.," Team members, team managers and team officers must not have any direct or indirect involvement
in the design, fabrication, static test, dynamic test, tear down and rebuild of any vehicle
competing at any FSAE competition, other than those for which they are officially assigned to work.
    ",Any cooling or lubrication system must be sealed to prevent leakage
398,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.5.2 state exactly? Answer with only the text of the rule and no other words.," Team members may not participate in any capacity for any competition where their team has been
disqualified for any violation of the rules.
    ",The vehicle must be capable of being tilted to a 45° angle without leaking fluid of any type.
399,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.5.3 state exactly? Answer with only the text of the rule and no other words.," Team members and suppliers must not visit the competition site until:
a. The event officials inspect the site and declare it ready for vehicle testing.
b. The vehicle inspection is open and the vehicle is presented for inspection.
c. All vehicle inspection items are cleared.
d. The vehicle is presented for tech inspection.
e. All tech inspection items are cleared.
f. The vehicle is presented for Static Fire Resistance.
g. All Static Fire Resistance items are cleared.
h. The vehicle is presented for Dynamic Fire Resistance.
i. All Dynamic Fire Resistance items are cleared.
j. The vehicle is presented for Dynamic Event Testing.
All Dynamic Event Testing items are cleared.
k. The vehicle is presented for Dynamic Sound Testing.
l. All Dynamic Sound Testing items are cleared.
m. The vehicle is presented for Dynamic Light Testing.
n. All Dynamic Light Testing items are cleared.
o. The vehicle is presented for Dynamic Electrical System Testing.
p. All Dynamic Electrical System Testing items are cleared.
q. The vehicle is presented for Dynamic Braking",Flammable liquid and vapors or other leaks must not collect or contact the driver
400,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.5.4 state exactly? Answer with only the text of the rule and no other words.," Team Members: 20
Drivers: 1 per vehicle
Technical Inspection Team Members: 2
Inspection Officials: 2 per team
Inspection Officials and Driver participants: 2 per team
Judges: 4
Scrutineers: 2
Starter: 1 per event
Schedulers/Operations: 2 per event
Practice Drivers: variable
Committee Members: variable
 ","Two holes of minimum diameter 25 mm each must be provided in the structure or belly pan at
the locations:
a. The lowest point of the chassis
b. Rearward of the driver position, forward of a fuel tank or other liquid source
c. If the lowest point of the chassis obeys T.5.5.4.b, then only one set of holes T.5.5.4.a is
necessary"
401,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.5.5 state exactly? Answer with only the text of the rule and no other words.," Team members and mentors who work on the vehicle must not have been involved with any other
competing team for the same competition, in any capacity, for 12 months after the completion of
their work for that team.
    ","Absorbent material and open collection devices (regardless of material) are prohibited in
compartments containing engine, drivetrain, exhaust and fuel systems below the highest
point on the exhaust system."
402,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.6.1 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, alumni, donors, industry sponsors and other individuals associated with the
competition must not receive compensation for their work on the competition other than:
a. Reimbursement for actual, documented out of pocket expenses
b. Stipends to cover living expenses while at the competition site (see F.8.3)
c. Awards or recognition for their contributions to the competition (such as Best All
Around Student, Best Technical Paper, etc.)
    ","The vehicle must have separate containers (catch cans) to retain fluids from any vents from
the powertrain systems."
403,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.6.2 state exactly? Answer with only the text of the rule and no other words.," Team Equipment
     The following items are Team Equipment:
a. Accumulator Container
b. Accumulator
c. Battery Management System (BMS)
d. Charging Equipment
e. Power Distribution
f. Power Inverter
g. Control Equipment
h. Accumulator Thermometer
i. Voltage Sensor
j. Current Sensor
k. Accumulator Temperature Sensor
l. Accumulator Pressure Sensor
m. Accumulator Condition Sensor
n. Accumulator State Sensor
o. Battery Isolation Switch
p. Battery Voltage Sensor
q. Charging System
r. Charging Voltage Sensor
s. Charging Current Sensor
t. Battery Management System (BMS)
u. BMS Power Supply
v. BMS Communication
w. BMS Sensors
x. BMS Control
y. BMS Power Conditioning
z. BMS Protection
a. Battery Isolation
b. Battery Volt","Catch cans must be:
a. Capable of containing boiling water without deformation
b. Located rearwards of the Firewall below the driver’s shoulder level
c. Positively retained, using no tie wraps or tape"
404,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.6.3 state exactly? Answer with only the text of the rule and no other words.," Team members and mentors who are present in the paddock must wear the FSAE specific
col color shirt provided by the organizer.
    ","Catch cans for the engine coolant system and engine lubrication system must have a minimum
capacity of 10% of the fluid being contained or 0.9 liter, whichever is higher"
405,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.6.4 state exactly? Answer with only the text of the rule and no other words.," Team equipment may be moved to the Inspection Area without being pushed or pulled by hand.
    ","Catch cans for any vent on other systems containing liquid lubricant or coolant, including a
differential, gearbox, or electric motor, must have a minimum capacity of 10% of the fluid
being contained or 0.5 liter, whichever is higher"
406,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.5.6.5 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, alumni, and other individuals associated with the competition must not receive
information about the vehicle or tech nical details which is not publicly available on the website of the organ
izer or another public website.
    ","Any catch can on the cooling system must vent through a hose with a minimum internal
diameter of 3 mm down to the bottom levels of the Chassis."
407,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.6.1 state exactly? Answer with only the text of the rule and no other words.," Team members and suppliers must not have any affiliation with automotive industry companies
     that employ more than 500 people worldwide.
    ","Compressed Gas Cylinders and Lines
Any system on the vehicle that uses a compressed gas as an actuating medium must meet the
following:"
408,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.6.1.1 state exactly? Answer with only the text of the rule and no other words.," The vehicle must be driven from the paddock to the dynamic testing area using the dynamic testing path.
    ",Working Gas - The working gas must be non flammable
409,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.6.1.2 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, alumni, sponsors, and other individuals related to the competition are not allowed on the dynamic testing area.
    ","Cylinder Certification - The gas cylinder/tank must be commercially manufactured, designed
and built for the pressure being used, certified by an accredited testing laboratory in the
country of its origin, and labeled or stamped appropriately."
410,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.6.1.3 state exactly? Answer with only the text of the rule and no other words.," Team members who work on the vehicle must be registered for the competition for which the vehicle is entered.
    ","Pressure Regulation - The pressure regulator must be mounted directly onto the gas
cylinder/tank"
411,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.6.1.4 state exactly? Answer with only the text of the rule and no other words.," Team members, mentors, judges, volunteers and other individuals involved in the competition must not:
a. Be employed by, or contract to, any organization which is designing, manufacturing,
testing or selling vehicles related to the competition.
b. Have any financial interest in, or be a shareholder of, any organization related to the
competition.
c. Receive any compensation, other than a nominal gift, for work done for a organization
related to the competition.
d. Receive any honoraria or cash reward for work done for a organization related to the
e. Have any other financial interest related to the competition.
f. Be a member of any organization related to the competition and have any financial
interest in the organization or in any competition related event.
g. Be a owner of any vehicle entered in the competition.
h. Have any other financial interest related to the competition.
i. Be a member of the organizing committee.
j. Have any other financial interest related to the competition.
    ","Lines and Fittings - The gas lines and fittings must be appropriate for the maximum possible
operating pressure of the system."
412,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.6.1.5 state exactly? Answer with only the text of the rule and no other words.," Team members and students who visit the competition site must:
a. Be registered as a participant for the competition and show their registration
badge when requested by the organizer or inspector.
b. Not be employed by, or contracted to, any competition sponsor or supplier.
    ",Insulation - The gas cylinder/tank must be insulated from any heat sources
413,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.6.1.6 state exactly? Answer with only the text of the rule and no other words.,"8.4.2
Draft Reports and Presentations
The following documents are not allowed:
• Draft Reports
• Draft Presentations
• Draft Proposals
• Draft Papers
• Draft Ideas
• Draft Designs
• Draft Plans
• Draft Sketches
• Draft Drawings
• Draft Prototypes
• Draft Models
• Draft Mockups
• Draft Prototypes
• Draft Mockups
• Draft Prototypes
• Draft Models
• Draft Sketches
• Draft Drawings
• Draft Plans
• Draft Sketches
• Draft Drawings
• Draft Plans
• Draft Sketches
• Draft Drawings
• Draft Plans
• Draft Sketches
• Draft Drawings
• Draft Plans
• Draft Sketches
• Draft Drawings
• Draft Plans
• Draft Sketches
• Draft Drawings
• Draft Plans
• Draft Sketches
• Draft Draw","Cylinder Material – gas cylinders/tanks in a position 150 mm or less from an exhaust system
must meet one of the two:
• Made from metal
• Meet the thermal protection requirements of T.1.6.3"
414,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.6.1.7 state exactly? Answer with only the text of the rule and no other words.," Team Equipment
The following equipment is prohibited for the entire competition:
• Drill
• Reciprocating Saw
• Wrenches over 1/4 inch
• Pliers
• Wrenches over 1 1/2 inches
• Tape Measure
• Laser Level
• Compass
• Torque Wrenches
• Sockets
• Ratchets
• Push / Pull
• Wheel Bars
• Tractors
• Chain Hoists
• Electric Tractors
• Winches
• Pneumatic Tractors
• Air Wrenches
• Compressors
• Hydraulic Tools
• Portable Air Compressors
• Portable Hydraulic Compressors
• Rechargeable Battery Packs
• Rechargeable Battery Chargers
• Fire Extinguishers
• First Aid Kits
• Tape
• Marking Flags
• Safety Glasses
• Ear Protection
• Headlamps
• Work Lights
• Warning Triangles
• Reflective Vest
•","Cylinder Location - The gas cylinder/tank and the pressure regulator must be:
a. Securely mounted inside the Chassis
b. Located outside of the Cockpit
c. In a position below the height of the Shoulder Belt Mount T.2.6
d. Aligned so the axis of the gas cylinder/tank does not point at the driver"
